Time,AnzahlFaelleSum,AnzahlTotSum,AnzahlGeheiltSum
2020-02-26,1,0,0
2020-02-27,3,0,0
2020-02-28,7,0,0
2020-02-29,8,0,0
2020-03-01,12,0,0
2020-03-02,17,0,0
2020-03-03,23,0,0
2020-03-04,37,0,0
2020-03-05,46,0,2
2020-03-06,75,0,2
2020-03-07,98,0,2
2020-03-08,126,0,2
2020-03-09,148,0,2
2020-03-10,203,0,3
2020-03-11,312,0,5
2020-03-12,410,1,8
2020-03-13,592,1,8
2020-03-14,802,2,10
2020-03-15,1000,3,14
2020-03-16,1226,5,26
2020-03-17,1572,7,28
2020-03-18,1944,12,30
2020-03-19,2399,15,34
2020-03-20,2908,20,44
2020-03-21,3456,26,55
2020-03-22,4074,34,73
2020-03-23,4760,46,129
2020-03-24,5483,56,219
2020-03-25,6237,65,315
2020-03-26,7294,81,476
2020-03-27,8101,101,697
2020-03-28,8718,120,893
2020-03-29,9265,134,1145
2020-03-30,9936,155,1516
2020-03-31,10487,173,1893
2020-04-01,11036,184,2238
2020-04-02,11474,204,2623
2020-04-03,11886,222,3095
2020-04-04,12139,242,3627
2020-04-05,12322,264,3973
2020-04-06,12628,295,4689
2020-04-07,12917,324,5210
2020-04-08,13207,341,5820
2020-04-09,13483,363,6417
2020-04-10,13840,386,7053
2020-04-11,14043,403,7455
2020-04-12,14154,415,7771
2020-04-13,14241,436,8079
2020-04-14,14391,449,8636
2020-04-15,14520,464,9127
2020-04-16,14631,486,9584
2020-04-17,14731,499,10007
2020-04-18,14791,516,10263
2020-04-19,14838,532,10426
2020-04-20,14906,541,10812
2020-04-21,14976,559,11245
2020-04-22,15049,571,11505
2020-04-23,15109,577,11752
2020-04-24,15188,584,12016
2020-04-25,15250,598,12155
2020-04-26,15285,607,12265
2020-04-27,15355,611,12463
2020-04-28,15404,624,12633
2020-04-29,15465,630,12808
2020-04-30,15519,636,13012
2020-05-01,15556,639,13123
2020-05-02,15584,641,13203
2020-05-03,15596,647,13261
2020-05-04,15626,650,13412
2020-05-05,15680,653,13536
2020-05-06,15726,657,13655
2020-05-07,15764,659,13774
2020-05-08,15814,664,13941
2020-05-09,15844,668,14015
2020-05-10,15859,670,14072
2020-05-11,15925,672,14165
2020-05-12,15963,673,14256
2020-05-13,16015,674,14332
2020-05-14,16069,677,14408
2020-05-15,16150,677,14478
2020-05-16,16165,678,14531
2020-05-17,16191,679,14556
2020-05-18,16249,682,14607
2020-05-19,16309,683,14676
2020-05-20,16339,686,14727
2020-05-21,16371,688,14783
2020-05-22,16399,691,14834
2020-05-23,16423,692,14881
2020-05-24,16454,692,14920
2020-05-25,16479,693,14978
2020-05-26,16501,695,15064
2020-05-27,16551,695,15140
2020-05-28,16570,695,15221
2020-05-29,16612,696,15278
2020-05-30,16644,696,15310
2020-05-31,16649,696,15345
2020-06-01,16668,697,15375
2020-06-02,16684,697,15444
2020-06-03,16737,700,15481
2020-06-04,16754,702,15529
2020-06-05,16821,703,15561
2020-06-06,16852,703,15585
2020-06-07,16877,703,15612
2020-06-08,16901,704,15666
2020-06-09,16916,706,15695
2020-06-10,16950,708,15731
2020-06-11,16972,708,15761
2020-06-12,17009,708,15787
2020-06-13,17031,709,15813
2020-06-14,17049,712,15830
2020-06-15,17102,717,15863
2020-06-16,17121,719,15885
2020-06-17,17152,720,15922
2020-06-18,17184,720,15953
2020-06-19,17236,721,15988
2020-06-20,17268,723,16023
2020-06-21,17297,724,16036
